elapsed_sec,step,jet_velocity_mean,jet_velocity_max,enstrophy,enstrophy_drift,tau_im_min,rho_mean,wec_margin,div_u,speedup_vs_wrf,simulated_days,spot_l4_cost_usd,spot_tpu_cost_usd,ondemand_cost_usd,hpc_cluster_cost_usd,residual_norm
231.57,53220,1.5199120928976169,1.8194195534015947,0.6474637548763675,0.43267140865159465,0.9413796726857222,0.9452026191503232,1.0660844562336178,0.059417439706458984,1520.0,1330.5,0.012864842295646668,0.023156716132164,0.04502694803476333,1.1899979123473168,0.3677708173538554
232.57,53496,1.5129593610394454,1.8103286457643837,0.6464590963520649,0.43355172280213367,0.9414005992498787,0.9451838630936169,1.0596406765086124,0.059407697305637865,1520.0,1337.4,0.012920496278338961,0.023256893301010127,0.04522173697418636,1.1951459057463538,0.3685190843818136
233.57,53781,1.5058479086352055,1.8010361460877193,0.6454271368051149,0.4344559589878511,0.9414221079924339,0.9451645860203923,1.0604304280202443,0.05939764057006669,1520.0,1344.525,0.012976157744725545,0.02335708394050598,0.0454165521065394,1.2002945913871128,0.3692876851396734
234.58,54042,1.4993950759684074,1.7926094675679993,0.6444868832176784,0.4352798394587702,0.9414417169798948,0.9451470122779572,1.073866508854552,0.05938843370388819,1520.0,1351.05,0.01303195435471005,0.023457517838478086,0.045611840241485166,1.2054557778106796,0.36998798353995466
235.58,54302,1.4930229976266944,1.7842931129425936,0.6435547417205474,0.436096611854942,0.9414611674778898,0.9451295812228256,1.101318219927314,0.05937926495043975,1520.0,1357.55,0.013087657915221321,0.023557784247398378,0.04580680270327462,1.2106083571579722,0.37068224007670064
236.58,54551,1.4869722512609753,1.7764006201411158,0.6426662060865486,0.43687517538966164,0.9414797177448624,0.9451129575333996,1.0994147832981538,0.059370486759327545,1520.0,1363.775,0.013143450445599026,0.023658210802078243,0.04600207655959659,1.2157691662179098,0.3713440190812124
237.59,54823,1.4804196988565343,1.7678585128757744,0.6417002023004799,0.43772161901381823,0.9414998957791796,0.9450948757980229,1.0774277619374366,0.05936090069688944,1520.0,1370.575,0.013199169370863174,0.02375850486755371,0.0461970927980211,1.2209231668048435,0.3720634961617455
238.59,55090,1.4740448199126792,1.7595529557958387,0.6407565761578018,0.43854845462624154,0.9415196166078305,0.9450772044398406,1.0624360428143231,0.059351493859090346,1520.0,1377.25,0.013254837883843316,0.023858708190917965,0.0463919325934516,1.2260725042555067,0.3727663064323053
239.59,55357,1.46772587281133,1.7513250749630664,0.6398174707029346,0.43937132906643184,0.9415392527074218,0.9450596096640209,1.059761677457434,0.059342090002196216,1520.0,1383.925,0.013310525867674087,0.023958946561813355,0.0465868405368593,1.231223642759853,0.37346574970646707
240.59,55616,1.461648999317313,1.743416916294859,0.6389107702606258,0.44016580919112736,0.9415582202021143,0.9450426146105303,1.0725431635352976,0.05933297075573425,1520.0,1390.4,0.01336628966861301,0.024059321403503416,0.046782013840145534,1.2363817943467035,0.3741410578124582
241.59,55866,1.455831925176038,1.7358510046607276,0.638039515081642,0.4409292310347057,0.9415764542630168,0.9450262772987135,1.1053275554372863,0.05932417105224809,1520.0,1396.65,0.013421941386328804,0.024159494495391846,0.04697679485215081,1.2415295782354143,0.37478996637949985
242.6,56139,1.4495335492218107,1.7276636836725134,0.6370924705678405,0.4417590619339842,0.9415962831613566,0.9450085116913232,1.1098138594933618,0.059314564756987244,1520.0,1403.475,0.013477605740229291,0.02425969033241272,0.04717162009080251,1.2466785309712094,0.3754953226438865
243.6,56393,1.4437233841151489,1.72011523078031,0.636215382444033,0.44252759479164683,0.9416146551470934,0.9449920519959272,1.0769747055930399,0.059305629825131365,1520.0,1409.825,0.013533410178290474,0.02436013832092285,0.04736693562401665,1.2518404414918687,0.37614857557289977
244.6,56600,1.4390234503931962,1.7140121482936304,0.6355034415151634,0.443151420359112,0.9416295732174184,0.9449786871304007,1.061261409867691,0.0592983501979818,1520.0,1415.0,0.013589157078001235,0.02446048274040222,0.04756204977300432,1.2569970297151143,0.37667882730524516
245.61,56850,1.4333887673231946,1.7066987671571656,0.6346469864012778,0.4439018739090665,0.9416475256057972,0.9449626043696671,1.0821613859100272,0.0592895607599276,1520.0,1421.25,0.013644771509700351,0.02456058871746063,0.04775670028395123,1.2621413646472825,0.3773167128227065
